day,IC,IC_pearson
194,-0.2590145239433106,-0.2520130060864269
195,-0.007250474625522798,-0.040497141060755526
196,0.01650929757811531,0.06619815792744263
197,0.06673563875696326,0.030970946639787097
198,0.0778841754795754,0.04538896167131484
199,0.001294304727496114,0.027178479536735762
200,0.0011784299770118878,-0.0377140289587124
201,-0.15869252887860755,-0.16249341497669123
202,-0.08944976901315511,-0.10394489720872911
203,-0.0454170931813161,-0.1148509190001945
204,0.03935478035850007,-0.02277248905882064
205,0.0046249901387465635,-0.003927708032314842
206,0.14805028350647118,0.11666669515662328
207,-0.011965187116924608,0.007767508892203554
208,-0.01892022301934115,-0.010883569343097026
209,-0.09710558258197095,-0.09830035207189339
210,-0.0017736154223274528,0.027715991470868322
211,-0.31150097996094306,-0.27778020214666543
212,-0.035413046152315206,-0.060762524953165725
213,0.06571814191859343,0.07177279311304152
214,0.16899324951347572,0.11740590667517496
215,0.06990583161150779,0.021803377187488156
216,0.12608082626750863,0.09988040367729115
217,-0.04658803018454571,-0.046695176571701955
218,0.0416194266448981,0.08915917706657427
219,0.12222272653368454,0.1089126133989369
220,0.027533829481649796,0.004427673009637887
221,0.0341675007382463,0.046636358512527794
222,-0.22403191954922017,-0.20244612693092193
223,-0.06825229499710202,-0.0521860979008852
224,0.11921315197733169,0.08523845655217403
225,-0.21495818663772445,-0.17036084055960543
226,-0.09159660801707697,-0.08436899718382498
227,-0.022739892514991308,0.03938612372954337
228,-0.11344604469293171,-0.1141655274706941
229,-0.022643317945447994,0.03628760844217323
230,-0.09097906269905587,-0.1179935135421584
231,0.09510850997065753,0.12446885107108514
232,0.10868400411400052,0.09547879242795777
233,-0.037576145534251836,-0.0235706873254254
234,0.1154608049898731,0.11325572865281681
235,0.05202937517006717,-0.025045908811607002
