date_idx,ic,n_stocks
1958,0.059458907360468445,477
1959,-0.16810258725735253,477
1960,-0.06459292636247942,477
1961,0.030711224107009903,477
1962,0.04575572683216366,477
1963,0.1913375171735206,477
1964,-0.07229193082219353,477
1965,0.0447380568643118,477
1966,-0.15702573225880842,477
1967,0.009051707677111677,477
1968,-0.07948906943288653,477
1969,-0.028503872318960472,477
1970,-0.03920207877909228,477
1971,-0.2287151711243973,477
1972,-0.04664621020560563,477
1973,-0.13101750996170927,477
1974,0.1310279706886313,477
1975,0.12973552356255919,477
1976,-0.019135874667586525,477
1977,-0.2390885059563096,477
1978,-0.034897271902519886,477
1979,0.12011133278083931,477
1980,0.059689428041775974,477
1981,0.36487632885616816,477
1982,-0.1417078679268299,477
1983,-0.0685987567510246,477
1984,-0.25138132580151934,477
1985,0.11621533299659031,477
1986,0.1869547722442605,477
1987,0.17322909483862645,477
1988,-0.10555097850168879,477
1989,-0.02887091088116797,477
1990,-0.16710898507726468,477
1991,0.02072184531801704,477
1992,-0.12319339288284353,477
1993,-0.3783661077762004,477
1994,0.36345788930334677,477
1995,0.1935055493980634,477
1996,-0.021975320970570075,477
1997,-0.36084266763284023,477
1998,-0.006987296395305742,477
